,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
0,conv1_t;conv1_relu_t+pool1_t,Convolution;ReLU+MaxPooling_3x3,2,56,56,64,200704,224,224,3,150528,7,7,3,64,100352,118013952,9408,0,18816,25088,409770,409770,3,136590
1,res2a_branch1,Convolution,1,56,56,256,802816,56,56,64,200704,1,1,64,256,0,12845056,16384,2,25088,100352,24777,100352,1,100352
2,res2a_branch2a;res2a_branch2a_relu,Convolution;ReLU,1,56,56,64,200704,56,56,64,200704,1,1,64,64,12544,12845056,4096,3,25088,25088,24777,25088,1,25088
3,res2a_branch2b;res2a_branch2b_relu,Convolution;ReLU,1,56,56,64,200704,56,56,64,200704,3,3,64,64,12544,115605504,36864,4,25088,25088,200704,200704,2,100352
4,res2a_branch2c;res2a+res2a_relu,Convolution;Eltwise Add+ReLU,1,56,56,256,802816,56,56,64,200704,1,1,64,256,150528,51380224,16384,5,25088,100352,99112,150528,1,150528
5,res2b_branch2a;res2b_branch2a_relu,Convolution;ReLU,1,56,56,64,200704,56,56,256,802816,1,1,256,64,12544,51380224,16384,7,100352,25088,99112,100352,1,100352
6,res2b_branch2b;res2b_branch2b_relu,Convolution;ReLU,1,56,56,64,200704,56,56,64,200704,3,3,64,64,12544,115605504,36864,8,25088,25088,200704,200704,2,100352
7,res2b_branch2c;res2b+res2b_relu,Convolution;Eltwise Add+ReLU,1,56,56,256,802816,56,56,64,200704,1,1,64,256,150528,51380224,16384,9,25088,100352,99112,150528,1,150528
8,res2c_branch2a;res2c_branch2a_relu,Convolution;ReLU,1,56,56,64,200704,56,56,256,802816,1,1,256,64,12544,51380224,16384,11,100352,25088,99112,100352,1,100352
9,res2c_branch2b;res2c_branch2b_relu,Convolution;ReLU,1,56,56,64,200704,56,56,64,200704,3,3,64,64,12544,115605504,36864,12,25088,25088,200704,200704,1,200704
10,res2c_branch2c;res2c+res2c_relu,Convolution;Eltwise Add+ReLU,1,56,56,256,802816,56,56,64,200704,1,1,64,256,150528,51380224,16384,13,25088,100352,99112,150528,1,150528
11,res3a_branch1,Convolution,2,28,28,512,401408,56,56,256,802816,1,1,256,512,0,102760448,131072,15,100352,50176,198225,198225,1,198225
12,res3a_branch2a;res3a_branch2a_relu,Convolution;ReLU,1,56,56,128,401408,56,56,256,802816,1,1,256,128,25088,102760448,32768,16,100352,50176,198225,198225,1,198225
13,res3a_branch2b;res3a_branch2b_relu,Convolution;ReLU,2,28,28,128,100352,56,56,128,401408,3,3,128,128,6272,115605504,147456,17,50176,12544,200704,200704,1,200704
14,res3a_branch2c;res3a+res3a_relu,Convolution;Eltwise Add+ReLU,1,28,28,512,401408,28,28,128,100352,1,1,128,512,75264,51380224,65536,18,12544,50176,99112,99112,1,99112
15,res3b_branch2a;res3b_branch2a_relu,Convolution;ReLU,1,28,28,128,100352,28,28,512,401408,1,1,512,128,6272,51380224,65536,20,50176,12544,99112,99112,1,99112
16,res3b_branch2b;res3b_branch2b_relu,Convolution;ReLU,1,28,28,128,100352,28,28,128,100352,3,3,128,128,6272,115605504,147456,21,12544,12544,200704,200704,2,100352
17,res3b_branch2c;res3b+res3b_relu,Convolution;Eltwise Add+ReLU,1,28,28,512,401408,28,28,128,100352,1,1,128,512,75264,51380224,65536,22,12544,50176,99112,99112,1,99112
18,res3c_branch2a;res3c_branch2a_relu,Convolution;ReLU,1,28,28,128,100352,28,28,512,401408,1,1,512,128,6272,51380224,65536,24,50176,12544,99112,99112,1,99112
19,res3c_branch2b;res3c_branch2b_relu,Convolution;ReLU,1,28,28,128,100352,28,28,128,100352,3,3,128,128,6272,115605504,147456,25,12544,12544,200704,200704,1,200704
20,res3c_branch2c;res3c+res3c_relu,Convolution;Eltwise Add+ReLU,1,28,28,512,401408,28,28,128,100352,1,1,128,512,75264,51380224,65536,26,12544,50176,99112,99112,1,99112
21,res3d_branch2a;res3d_branch2a_relu,Convolution;ReLU,1,28,28,128,100352,28,28,512,401408,1,1,512,128,6272,51380224,65536,28,50176,12544,99112,99112,1,99112
22,res3d_branch2b;res3d_branch2b_relu,Convolution;ReLU,1,28,28,128,100352,28,28,128,100352,3,3,128,128,6272,115605504,147456,29,12544,12544,200704,200704,2,100352
23,res3d_branch2c;res3d+res3d_relu,Convolution;Eltwise Add+ReLU,1,28,28,512,401408,28,28,128,100352,1,1,128,512,75264,51380224,65536,30,12544,50176,99112,99112,1,99112
24,res4a_branch1,Convolution,2,14,14,1024,200704,28,28,512,401408,1,1,512,1024,0,102760448,524288,32,50176,25088,198225,198225,1,198225
25,res4a_branch2a;res4a_branch2a_relu,Convolution;ReLU,1,28,28,256,200704,28,28,512,401408,1,1,512,256,12544,102760448,131072,33,50176,25088,198225,198225,1,198225
26,res4a_branch2b;res4a_branch2b_relu,Convolution;ReLU,2,14,14,256,50176,28,28,256,200704,3,3,256,256,3136,115605504,589824,34,25088,6272,200704,200704,1,200704
27,res4a_branch2c;res4a+res4a_relu,Convolution;Eltwise Add+ReLU,1,14,14,1024,200704,14,14,256,50176,1,1,256,1024,37632,51380224,262144,35,6272,25088,99112,99112,1,99112
28,res4b_branch2a;res4b_branch2a_relu,Convolution;ReLU,1,14,14,256,50176,14,14,1024,200704,1,1,1024,256,3136,51380224,262144,37,25088,6272,99112,99112,1,99112
29,res4b_branch2b;res4b_branch2b_relu,Convolution;ReLU,1,14,14,256,50176,14,14,256,50176,3,3,256,256,3136,115605504,589824,38,6272,6272,200704,200704,1,200704
30,res4b_branch2c;res4b+res4b_relu,Convolution;Eltwise Add+ReLU,1,14,14,1024,200704,14,14,256,50176,1,1,256,1024,37632,51380224,262144,39,6272,25088,99112,99112,1,99112
31,res4c_branch2a;res4c_branch2a_relu,Convolution;ReLU,1,14,14,256,50176,14,14,1024,200704,1,1,1024,256,3136,51380224,262144,41,25088,6272,99112,99112,1,99112
32,res4c_branch2b;res4c_branch2b_relu,Convolution;ReLU,1,14,14,256,50176,14,14,256,50176,3,3,256,256,3136,115605504,589824,42,6272,6272,200704,200704,1,200704
33,res4c_branch2c;res4c+res4c_relu,Convolution;Eltwise Add+ReLU,1,14,14,1024,200704,14,14,256,50176,1,1,256,1024,37632,51380224,262144,43,6272,25088,99112,99112,1,99112
34,res4d_branch2a;res4d_branch2a_relu,Convolution;ReLU,1,14,14,256,50176,14,14,1024,200704,1,1,1024,256,3136,51380224,262144,45,25088,6272,99112,99112,1,99112
35,res4d_branch2b;res4d_branch2b_relu,Convolution;ReLU,1,14,14,256,50176,14,14,256,50176,3,3,256,256,3136,115605504,589824,46,6272,6272,200704,200704,1,200704
36,res4d_branch2c;res4d+res4d_relu,Convolution;Eltwise Add+ReLU,1,14,14,1024,200704,14,14,256,50176,1,1,256,1024,37632,51380224,262144,47,6272,25088,99112,99112,1,99112
37,res4e_branch2a;res4e_branch2a_relu,Convolution;ReLU,1,14,14,256,50176,14,14,1024,200704,1,1,1024,256,3136,51380224,262144,49,25088,6272,99112,99112,1,99112
38,res4e_branch2b;res4e_branch2b_relu,Convolution;ReLU,1,14,14,256,50176,14,14,256,50176,3,3,256,256,3136,115605504,589824,50,6272,6272,200704,200704,1,200704
39,res4e_branch2c;res4e+res4e_relu,Convolution;Eltwise Add+ReLU,1,14,14,1024,200704,14,14,256,50176,1,1,256,1024,37632,51380224,262144,51,6272,25088,99112,99112,1,99112
40,res4f_branch2a;res4f_branch2a_relu,Convolution;ReLU,1,14,14,256,50176,14,14,1024,200704,1,1,1024,256,3136,51380224,262144,53,25088,6272,99112,99112,1,99112
41,res4f_branch2b;res4f_branch2b_relu,Convolution;ReLU,1,14,14,256,50176,14,14,256,50176,3,3,256,256,3136,115605504,589824,54,6272,6272,200704,200704,1,200704
42,res4f_branch2c;res4f+res4f_relu,Convolution;Eltwise Add+ReLU,1,14,14,1024,200704,14,14,256,50176,1,1,256,1024,37632,51380224,262144,55,6272,25088,99112,99112,1,99112
43,res5a_branch1,Convolution,2,7,7,2048,100352,14,14,1024,200704,1,1,1024,2048,0,102760448,2097152,57,25088,12544,198225,198225,2,198225
44,res5a_branch2a;res5a_branch2a_relu,Convolution;ReLU,1,14,14,512,100352,14,14,1024,200704,1,1,1024,512,6272,102760448,524288,58,25088,12544,198225,198225,1,198225
45,res5a_branch2b;res5a_branch2b_relu,Convolution;ReLU,2,7,7,512,25088,14,14,512,100352,3,3,512,512,1568,115605504,2359296,59,12544,3136,200704,200704,3,66901
46,res5a_branch2c;res5a+res5a_relu,Convolution;Eltwise Add+ReLU,1,7,7,2048,100352,7,7,512,25088,1,1,512,2048,18816,51380224,1048576,60,3136,12544,99112,99112,1,99112
47,res5b_branch2a;res5b_branch2a_relu,Convolution;ReLU,1,7,7,512,25088,7,7,2048,100352,1,1,2048,512,1568,51380224,1048576,62,12544,3136,99112,99112,1,99112
48,res5b_branch2b;res5b_branch2b_relu,Convolution;ReLU,1,7,7,512,25088,7,7,512,25088,3,3,512,512,1568,115605504,2359296,63,3136,3136,200704,200704,2,200704
49,res5b_branch2c;res5b+res5b_relu,Convolution;Eltwise Add+ReLU,1,7,7,2048,100352,7,7,512,25088,1,1,512,2048,18816,51380224,1048576,64,3136,12544,99112,99112,1,99112
50,res5c_branch2a;res5c_branch2a_relu,Convolution;ReLU,1,7,7,512,25088,7,7,2048,100352,1,1,2048,512,1568,51380224,1048576,66,12544,3136,99112,99112,1,99112
51,res5c_branch2b;res5c_branch2b_relu,Convolution;ReLU,1,7,7,512,25088,7,7,512,25088,3,3,512,512,1568,115605504,2359296,67,3136,3136,200704,200704,2,200704
52,res5c_branch2c;res5c+res5c_relu,Convolution;Eltwise Add+ReLU,1,7,7,2048,100352,7,7,512,25088,1,1,512,2048,18816,51380224,1048576,68,3136,12544,99112,99112,1,99112

INPUTS
Filename: csvs/ResNet50.csv
Number of Tiles: 64
MAC Bandwidth: 576
Vector Width: 128
NOC Bandwidth: 8

OUTPUTS
Total MACS: 4.049e+09
Mac Cycles: 7.635e+06
Mac Util: 55%
Total Cycles: 7.868e+06
