LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtT(Size)
ssd1200/conv1/conv1_bn1/FusedBatchNorm:0,Convolution,2,600,64,600,23040000,1200,1200,3,4320000,7,7,3,64,9408
ssd1200/conv1/conv1_relu1/conv1_relu1:0,ReLU,0,600,64,600,23040000,600,600,64,23040000,0,0,0,0,0
ssd1200/pool1/MaxPool:0,MaxPooling_3x3,2,300,64,300,5760000,600,600,64,23040000,0,0,0,0,0
ssd1200/stage1_residul_block1/stage1_residul_block1_bn1/FusedBatchNorm:0,Convolution,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,36864
ssd1200/stage1_residul_block1/stage1_residul_block1_relu1/stage1_residul_block1_relu1:0,ReLU,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block1/stage1_residul_block1_bn2/FusedBatchNorm:0,Convolution,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,36864
ssd1200/add:0,Eltwise Add,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block1/stage1_residul_block1_relu2/stage1_residul_block1_relu2:0,ReLU,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block2/stage1_residul_block2_bn1/FusedBatchNorm:0,Convolution,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,36864
ssd1200/stage1_residul_block2/stage1_residul_block2_relu1/stage1_residul_block2_relu1:0,ReLU,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block2/stage1_residul_block2_bn2/FusedBatchNorm:0,Convolution,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,36864
ssd1200/add_1:0,Eltwise Add,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block2/stage1_residul_block2_relu2/stage1_residul_block2_relu2:0,ReLU,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block3/stage1_residul_block3_bn1/FusedBatchNorm:0,Convolution,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,36864
ssd1200/stage1_residul_block3/stage1_residul_block3_relu1/stage1_residul_block3_relu1:0,ReLU,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block3/stage1_residul_block3_bn2/FusedBatchNorm:0,Convolution,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,36864
ssd1200/add_2:0,Eltwise Add,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage1_residul_block3/stage1_residul_block3_relu2/stage1_residul_block3_relu2:0,ReLU,0,300,64,300,5760000,300,300,64,5760000,0,0,0,0,0
ssd1200/stage2_residul_block1_1/stage2_residul_block1_1_bn1/FusedBatchNorm:0,Convolution,2,150,128,150,2880000,300,300,64,5760000,3,3,64,128,73728
ssd1200/stage2_residul_block1_1/stage2_residul_block1_1_relu1/stage2_residul_block1_1_relu1:0,ReLU,0,150,128,150,2880000,150,150,128,2880000,0,0,0,0,0
