,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
0,ssd1200/conv1/conv1_bn1/FusedBatchNorm:0;ssd1200/conv1/conv1_relu1/conv1_relu1:0+ssd1200/pool1/MaxPool:0,Convolution;ReLU+MaxPooling_3x3,2,300,64,300,5760000,1200,1200,3,4320000,7,7,3,64,2880000,3386880000,9408,0,540000,720000,11760000,11760000,2,5880000
1,ssd1200/stage1_residul_block1/stage1_residul_block1_bn1/FusedBatchNorm:0;ssd1200/stage1_residul_block1/stage1_residul_block1_relu1/stage1_residul_block1_relu1:0,Convolution;ReLU,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,360000,3317760000,36864,2,720000,720000,5760000,5760000,1,5760000
2,ssd1200/stage1_residul_block1/stage1_residul_block1_bn2/FusedBatchNorm:0;ssd1200/add:0+ssd1200/stage1_residul_block1/stage1_residul_block1_relu2/stage1_residul_block1_relu2:0,Convolution;Eltwise Add+ReLU,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,1080000,3317760000,36864,3,720000,720000,5760000,5760000,1,5760000
3,ssd1200/stage1_residul_block2/stage1_residul_block2_bn1/FusedBatchNorm:0;ssd1200/stage1_residul_block2/stage1_residul_block2_relu1/stage1_residul_block2_relu1:0,Convolution;ReLU,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,360000,3317760000,36864,5,720000,720000,5760000,5760000,1,5760000
4,ssd1200/stage1_residul_block2/stage1_residul_block2_bn2/FusedBatchNorm:0;ssd1200/add_1:0+ssd1200/stage1_residul_block2/stage1_residul_block2_relu2/stage1_residul_block2_relu2:0,Convolution;Eltwise Add+ReLU,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,1080000,3317760000,36864,6,720000,720000,5760000,5760000,1,5760000
5,ssd1200/stage1_residul_block3/stage1_residul_block3_bn1/FusedBatchNorm:0;ssd1200/stage1_residul_block3/stage1_residul_block3_relu1/stage1_residul_block3_relu1:0,Convolution;ReLU,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,360000,3317760000,36864,8,720000,720000,5760000,5760000,1,5760000
6,ssd1200/stage1_residul_block3/stage1_residul_block3_bn2/FusedBatchNorm:0;ssd1200/add_2:0+ssd1200/stage1_residul_block3/stage1_residul_block3_relu2/stage1_residul_block3_relu2:0,Convolution;Eltwise Add+ReLU,1,300,64,300,5760000,300,300,64,5760000,3,3,64,64,1080000,3317760000,36864,9,720000,720000,5760000,5760000,1,5760000
7,ssd1200/stage2_residul_block1_1/stage2_residul_block1_1_bn1/FusedBatchNorm:0;ssd1200/stage2_residul_block1_1/stage2_residul_block1_1_relu1/stage2_residul_block1_1_relu1:0,Convolution;ReLU,2,150,128,150,2880000,300,300,64,5760000,3,3,64,128,180000,1658880000,73728,11,720000,360000,2880000,2880000,1,2880000
8,ssd1200/stage2_residul_block1_2/stage2_residul_block1_2_bn1/FusedBatchNorm:0,Convolution,1,150,128,150,2880000,150,150,128,2880000,3,3,128,128,0,184320000,147456,12,360000,360000,320000,360000,1,360000
9,ssd1200/stage2_downsample/stage2_downsample_bn1/FusedBatchNorm:0;ssd1200/add_3:0+ssd1200/stage2_residul_block1_2/stage2_residul_block1_2_relu1/stage2_residul_block1_2_relu1:0,Convolution;Eltwise Add+ReLU,2,150,128,150,2880000,300,300,64,5760000,1,1,64,128,540000,184320000,8192,13,720000,360000,355555,720000,1,720000
