,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
0,conv0;conv0/relu,Convolution;ReLU,2,150,150,32,720000,300,300,3,270000,3,3,3,32,45000,19440000,864,0,33750,90000,33750,90000,1,90000
1,conv1/dw;conv1/dw/relu,Convolution;ReLU,1,150,150,32,720000,150,150,32,720000,3,3,32,32,45000,207360000,9216,1,90000,90000,360000,360000,1,360000
2,conv1;conv1/relu,Convolution;ReLU,1,150,150,64,1440000,150,150,32,720000,1,1,32,64,90000,46080000,2048,2,90000,180000,88888,180000,1,180000
3,conv2/dw;conv2/dw/relu,Convolution;ReLU,1,75,75,64,360000,150,150,64,1440000,3,3,64,64,22500,207360000,36864,3,180000,45000,360000,360000,1,360000
4,conv2;conv2/relu,Convolution;ReLU,1,75,75,128,720000,75,75,64,360000,1,1,64,128,45000,46080000,8192,4,45000,90000,88888,90000,1,90000
5,conv3/dw;conv3/dw/relu,Convolution;ReLU,1,75,75,128,720000,75,75,128,720000,3,3,128,128,45000,829440000,147456,5,90000,90000,1440000,1440000,1,1440000
6,conv3;conv3/relu,Convolution;ReLU,1,75,75,128,720000,75,75,128,720000,1,1,128,128,45000,92160000,16384,6,90000,90000,177777,177777,1,177777
7,conv4/dw;conv4/dw/relu,Convolution;ReLU,2,38,38,128,184832,75,75,128,720000,3,3,128,128,11552,212926464,147456,7,90000,23104,369664,369664,1,369664
8,conv4;conv4/relu,Convolution;ReLU,1,38,38,256,369664,38,38,128,184832,1,1,128,256,23104,47316992,32768,8,23104,46208,91274,91274,1,91274
9,conv5/dw;conv5/dw/relu,Convolution;ReLU,1,38,38,256,369664,38,38,256,369664,3,3,256,256,23104,851705856,589824,9,46208,46208,1478656,1478656,1,1478656
10,conv5;conv5/relu,Convolution;ReLU,1,38,38,256,369664,38,38,256,369664,1,1,256,256,23104,94633984,65536,10,46208,46208,182549,182549,1,182549
11,conv6/dw;conv6/dw/relu,Convolution;ReLU,1,19,19,256,92416,38,38,256,369664,3,3,256,256,5776,212926464,589824,11,46208,11552,369664,369664,1,369664
12,conv6;conv6/relu,Convolution;ReLU,1,19,19,512,184832,19,19,256,92416,1,1,256,512,11552,47316992,131072,12,11552,23104,91274,91274,1,91274
13,conv7/dw;conv7/dw/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,3,3,512,512,11552,851705856,2359296,13,23104,23104,1478656,1478656,2,1478656
14,conv7;conv7/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,1,1,512,512,11552,94633984,262144,14,23104,23104,182549,182549,1,182549
15,conv8/dw;conv8/dw/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,3,3,512,512,11552,851705856,2359296,15,23104,23104,1478656,1478656,3,492885
16,conv8;conv8/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,1,1,512,512,11552,94633984,262144,16,23104,23104,182549,182549,1,182549
17,conv9/dw;conv9/dw/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,3,3,512,512,11552,851705856,2359296,17,23104,23104,1478656,1478656,2,1478656
18,conv9;conv9/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,1,1,512,512,11552,94633984,262144,18,23104,23104,182549,182549,1,182549
19,conv10/dw;conv10/dw/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,3,3,512,512,11552,851705856,2359296,19,23104,23104,1478656,1478656,3,492885
20,conv10;conv10/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,1,1,512,512,11552,94633984,262144,20,23104,23104,182549,182549,1,182549
21,conv11/dw;conv11/dw/relu,Convolution;ReLU,1,19,19,512,184832,19,19,512,184832,3,3,512,512,11552,851705856,2359296,21,23104,23104,1478656,1478656,2,1478656
22,conv11;conv11/relu+conv11_mbox_priorbox,Convolution;ReLU+PriorBox,1,240,4,2,1920,19,19,512,184832,1,1,512,512,11672,94633984,262144,22,23104,240,182549,182549,1,182549
23,conv11_mbox_conf;conv11_mbox_conf_perm+conv11_mbox_conf_flat,Convolution;Permute+Flatten,75,1,1,22743,22743,19,19,512,184832,1,1,512,63,12792,11644416,32256,24,23104,2842,22462,23104,1,23104
24,conv11_mbox_loc;conv11_mbox_loc_perm+conv11_mbox_loc_flat,Convolution;Permute+Flatten,19,1,1,4332,4332,19,19,512,184832,1,1,512,12,2436,2217984,6144,26,23104,541,4277,23104,1,23104
25,conv12/dw;conv12/dw/relu,Convolution;ReLU,2,10,10,512,51200,19,19,512,184832,3,3,512,512,3200,235929600,2359296,28,23104,6400,409600,409600,2,409600
26,conv12;conv12/relu,Convolution;ReLU,1,10,10,1024,102400,10,10,512,51200,1,1,512,1024,6400,52428800,524288,29,6400,12800,101135,101135,1,101135
27,conv13/dw;conv13/dw/relu,Convolution;ReLU,1,10,10,1024,102400,10,10,1024,102400,3,3,1024,1024,6400,943718400,9437184,30,12800,12800,1638400,1638400,10,163840
28,conv13;conv13/relu+conv13_mbox_priorbox,Convolution;ReLU+PriorBox,1,4,4,2,32,10,10,1024,102400,1,1,1024,1024,6402,104857600,1048576,31,12800,4,202271,202271,1,202271
29,conv13_mbox_conf;conv13_mbox_conf_perm+conv13_mbox_conf_flat,Convolution;Permute+Flatten,75,1,1,12600,12600,10,10,1024,102400,1,1,1024,126,7087,12902400,129024,33,12800,1575,24888,24888,1,24888
30,conv13_mbox_loc;conv13_mbox_loc_perm+conv13_mbox_loc_flat,Convolution;Permute+Flatten,10,1,1,2400,2400,10,10,1024,102400,1,1,1024,24,1350,2457600,24576,35,12800,300,4739,12800,1,12800
31,conv14_1;conv14_1/relu,Convolution;ReLU,10,10,10,256,25600,10,10,1024,102400,1,1,1024,256,1600,26214400,262144,37,12800,3200,50567,50567,1,50567
32,conv14_2;conv14_2/relu+conv14_2_mbox_priorbox,Convolution;ReLU+PriorBox,1,4,4,2,32,10,10,256,25600,3,3,256,512,802,29491200,1179648,38,3200,4,51200,51200,1,51200
33,conv14_2_mbox_conf;conv14_2_mbox_conf_perm+conv14_2_mbox_conf_flat,Convolution;Permute+Flatten,75,1,1,3150,3150,5,5,512,12800,1,1,512,126,1771,1612800,64512,40,1600,393,3111,3111,1,3111
34,conv14_2_mbox_loc;conv14_2_mbox_loc_perm+conv14_2_mbox_loc_flat,Convolution;Permute+Flatten,5,1,1,600,600,5,5,512,12800,1,1,512,24,337,307200,12288,42,1600,75,592,1600,1,1600
35,conv15_1;conv15_1/relu,Convolution;ReLU,5,5,5,128,3200,5,5,512,12800,1,1,512,128,200,1638400,65536,44,1600,400,3159,3159,1,3159
36,conv15_2;conv15_2/relu+conv15_2_mbox_priorbox,Convolution;ReLU+PriorBox,2,4,4,2,32,5,5,128,3200,3,3,128,256,146,2654208,294912,45,400,4,4608,4608,1,4608
37,conv15_2_mbox_conf;conv15_2_mbox_conf_perm+conv15_2_mbox_conf_flat,Convolution;Permute+Flatten,75,1,1,1134,1134,3,3,256,2304,1,1,256,126,637,290304,32256,47,288,141,559,637,1,637
38,conv15_2_mbox_loc;conv15_2_mbox_loc_perm+conv15_2_mbox_loc_flat,Convolution;Permute+Flatten,3,1,1,216,216,3,3,256,2304,1,1,256,24,121,55296,6144,49,288,27,106,288,1,288
39,conv16_1;conv16_1/relu,Convolution;ReLU,3,3,3,128,1152,3,3,256,2304,1,1,256,128,72,294912,32768,51,288,144,568,568,1,568
