,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
0,conv1_1;relu1_1,Convolution;ReLU,1,300,300,64,5760000,300,300,3,270000,3,3,3,64,360000,155520000,1728,0,33750,720000,270000,720000,1,720000
1,conv1_2;relu1_2+pool1,Convolution;ReLU+Pooling,1,150,150,64,1440000,300,300,64,5760000,3,3,64,64,720000,3317760000,36864,1,720000,180000,5760000,5760000,4,1440000
2,conv2_1;relu2_1,Convolution;ReLU,1,150,150,128,2880000,150,150,64,1440000,3,3,64,128,180000,1658880000,73728,3,180000,360000,2880000,2880000,2,1440000
3,conv2_2;relu2_2+pool2,Convolution;ReLU+Pooling,1,75,75,128,720000,150,150,128,2880000,3,3,128,128,360000,3317760000,147456,4,360000,90000,5760000,5760000,4,1440000
4,conv3_1;relu3_1,Convolution;ReLU,1,75,75,256,1440000,75,75,128,720000,3,3,128,256,90000,1658880000,294912,6,90000,180000,2880000,2880000,2,1440000
5,conv3_2;relu3_2,Convolution;ReLU,1,75,75,256,1440000,75,75,256,1440000,3,3,256,256,90000,3317760000,589824,7,180000,180000,5760000,5760000,4,1440000
6,conv3_3;relu3_3+pool3,Convolution;ReLU+Pooling,1,38,38,256,369664,75,75,256,1440000,3,3,256,256,182416,3317760000,589824,8,180000,46208,5760000,5760000,4,1440000
7,conv4_1;relu4_1,Convolution;ReLU,1,38,38,512,739328,38,38,256,369664,3,3,256,512,46208,1703411712,1179648,10,46208,92416,2957312,2957312,3,985770
8,conv4_2;relu4_2,Convolution;ReLU,1,38,38,512,739328,38,38,512,739328,3,3,512,512,46208,3406823424,2359296,11,92416,92416,5914624,5914624,5,1182924
9,conv4_3;relu4_3+conv4_3_norm,Convolution;ReLU+Normalize,1,38,38,512,739328,38,38,512,739328,3,3,512,512,138624,3406823424,2359296,12,92416,92416,5914624,5914624,5,1182924
