LyrName,LyrType,InD,InW,InH,OutD,OutW,OutH,KerSize
layer1-conv,Convolution,3,416,416,32,416,416,3
layer1-bn,BatchNorm,32,416,416,32,416,416,
layer1-scale,Scale,32,416,416,32,416,416,
layer1-act,ReLU,32,416,416,32,416,416,
layer2-conv,Convolution,32,416,416,64,208,208,3
layer2-bn,BatchNorm,64,208,208,64,208,208,
layer2-scale,Scale,64,208,208,64,208,208,
layer2-act,ReLU,64,208,208,64,208,208,
layer3-conv,Convolution,64,208,208,32,208,208,1
layer3-bn,BatchNorm,32,208,208,32,208,208,
layer3-scale,Scale,32,208,208,32,208,208,
layer3-act,ReLU,32,208,208,32,208,208,
layer4-conv,Convolution,32,208,208,64,208,208,3
layer4-bn,BatchNorm,64,208,208,64,208,208,
layer4-scale,Scale,64,208,208,64,208,208,
layer4-act,ReLU,64,208,208,64,208,208,
layer5-shortcut,Eltwise,64,208,208,64,208,208,
layer6-conv,Convolution,64,208,208,128,104,104,3
layer6-bn,BatchNorm,128,104,104,128,104,104,
layer6-scale,Scale,128,104,104,128,104,104,
layer6-act,ReLU,128,104,104,128,104,104,
layer7-conv,Convolution,128,104,104,64,104,104,1
layer7-bn,BatchNorm,64,104,104,64,104,104,
layer7-scale,Scale,64,104,104,64,104,104,
layer7-act,ReLU,64,104,104,64,104,104,
layer8-conv,Convolution,64,104,104,128,104,104,3
layer8-bn,BatchNorm,128,104,104,128,104,104,
layer8-scale,Scale,128,104,104,128,104,104,
layer8-act,ReLU,128,104,104,128,104,104,
layer9-shortcut,Eltwise,128,104,104,128,104,104,
layer10-conv,Convolution,128,104,104,64,104,104,1
layer10-bn,BatchNorm,64,104,104,64,104,104,
layer10-scale,Scale,64,104,104,64,104,104,
layer10-act,ReLU,64,104,104,64,104,104,
layer11-conv,Convolution,64,104,104,128,104,104,3
layer11-bn,BatchNorm,128,104,104,128,104,104,
layer11-scale,Scale,128,104,104,128,104,104,
layer11-act,ReLU,128,104,104,128,104,104,
layer12-shortcut,Eltwise,128,104,104,128,104,104,
layer13-conv,Convolution,128,104,104,256,52,52,3
layer13-bn,BatchNorm,256,52,52,256,52,52,
layer13-scale,Scale,256,52,52,256,52,52,
layer13-act,ReLU,256,52,52,256,52,52,
layer14-conv,Convolution,256,52,52,128,52,52,1
layer14-bn,BatchNorm,128,52,52,128,52,52,
layer14-scale,Scale,128,52,52,128,52,52,
layer14-act,ReLU,128,52,52,128,52,52,
layer15-conv,Convolution,128,52,52,256,52,52,3
layer15-bn,BatchNorm,256,52,52,256,52,52,
layer15-scale,Scale,256,52,52,256,52,52,
layer15-act,ReLU,256,52,52,256,52,52,
layer16-shortcut,Eltwise,256,52,52,256,52,52,
layer17-conv,Convolution,256,52,52,128,52,52,1
layer17-bn,BatchNorm,128,52,52,128,52,52,
layer17-scale,Scale,128,52,52,128,52,52,
layer17-act,ReLU,128,52,52,128,52,52,
layer18-conv,Convolution,128,52,52,256,52,52,3
layer18-bn,BatchNorm,256,52,52,256,52,52,
layer18-scale,Scale,256,52,52,256,52,52,
layer18-act,ReLU,256,52,52,256,52,52,
layer19-shortcut,Eltwise,256,52,52,256,52,52,
layer20-conv,Convolution,256,52,52,128,52,52,1
layer20-bn,BatchNorm,128,52,52,128,52,52,
layer20-scale,Scale,128,52,52,128,52,52,
layer20-act,ReLU,128,52,52,128,52,52,
layer21-conv,Convolution,128,52,52,256,52,52,3
layer21-bn,BatchNorm,256,52,52,256,52,52,
layer21-scale,Scale,256,52,52,256,52,52,
layer21-act,ReLU,256,52,52,256,52,52,
layer22-shortcut,Eltwise,256,52,52,256,52,52,
layer23-conv,Convolution,256,52,52,128,52,52,1
layer23-bn,BatchNorm,128,52,52,128,52,52,
layer23-scale,Scale,128,52,52,128,52,52,
layer23-act,ReLU,128,52,52,128,52,52,
layer24-conv,Convolution,128,52,52,256,52,52,3
layer24-bn,BatchNorm,256,52,52,256,52,52,
layer24-scale,Scale,256,52,52,256,52,52,
layer24-act,ReLU,256,52,52,256,52,52,
layer25-shortcut,Eltwise,256,52,52,256,52,52,
