LyrName,Type,InT(W),InT(H),InT(D),InDatatype,OutT(W),OutT(H),OutT(D),OutDatatype,WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtDatatype,Si,Sj,G,Activation Function,Parent Op,Num_Layers,Gflops,O/P Activation (MB),Weight (MB)
Conv_0,Convolution,224,224,3,Int8,112,112,32,Int8,3,3,1,96,Int8,2,2,1,"BN, Swish",Head,1,2.17E-02,3.83E-01,8.24E-04
Conv_DW_1,Convolution_DW,112,112,32,Int8,112,112,32,Int8,3,3,1,32,Int8,1,1,32,"BN, Swish",Conv_0,1,7.23E-03,3.83E-01,2.75E-04
AvgPool_2_1,AvgPool,112,112,32,Int8,1,1,32,Int8,,,,,Int8,1,1,1,,Conv_DW_1,,,,
Conv_2_1,Convolution,1,1,32,Int8,1,1,8,Int8,1,1,1,256,Int8,1,1,1,"BN, Swish",AvgPool_2_1,1,5.12E-07,7.63E-06,2.44E-04
Conv_2_2,Convolution,1,1,8,Int8,1,1,32,Int8,1,1,1,256,Int8,1,1,1,BN ,Conv_2_1,1,5.12E-07,3.05E-05,2.44E-04
Sigmoid_2,Sigmoid,1,1,32,Int8,1,1,32,Int8,,,,,Int8,,,,,Conv_2_2,,,,
BroadCast Mul_2,BroadCast_Mul,1,1,32,Int8,112,112,32,Int8,,,,,Int8,,,,,"Sigmoid_2, Conv_1_1",,,,
Conv_3,Convolution,112,112,32,Int8,112,112,32,Int8,1,1,1,1024,Int8,1,1,1,BN,BroadCast Mul_2,1,2.57E-02,3.83E-01,9.77E-04
Conv_4,Convolution,112,112,32,Int8,112,112,96,Int8,1,1,1,3072,Int8,1,1,1,"BN, Swish",Conv_3,1,7.71E-02,1.15E+00,2.93E-03
Conv_DW_5,Convolution_DW,112,112,96,Int8,56,56,96,Int8,3,3,1,96,Int8,2,2,96,"BN, Swish",Conv_4,1,5.42E-03,2.87E-01,8.24E-04
AvgPool_6_1,AvgPool,56,56,96,Int8,1,1,96,Int8,,,,,Int8,1,1,1,,Conv_DW_5,,,,
Conv_6_1,Convolution,1,1,96,Int8,1,1,4,Int8,1,1,1,384,Int8,1,1,1,"BN, Swish",AvgPool_6_1,1,7.68E-07,3.81E-06,3.66E-04
Conv_6_2,Convolution,1,1,4,Int8,1,1,96,Int8,1,1,1,384,Int8,1,1,1,BN ,Conv_6_1,1,7.68E-07,9.16E-05,3.66E-04
Sigmoid_6,Sigmoid,1,1,96,Int8,1,1,32,Int8,,,,,Int8,,,,,Conv_6_2,,,,
BroadCast Mul_6,BroadCast_Mul,1,1,32,Int8,56,56,96,Int8,,,,,Int8,,,,,"Sigmoid_6, Conv_5",,,,
