LyrName,Type,InT(W),InT(H),InT(D),OutT(W),OutT(H),OutT(D),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),InDatatype,WgtDatatype,OutDatatype,Repeat
MatMul Q,MatMul,384,64,1,384,64,1,64,64,1,1,Int8,Int8,Int8,16
MatMul K,MatMul,384,64,1,384,64,1,64,64,1,1,Int8,Int8,Int8,16
Transpose T,Transpose,384,64,1,64,384,1,,,,,Int8,Int8,Int8,16
MatMul Q.KT,MatMul,384,64,1,384,384,1,64,384,1,1,Int8,Int8,Int8,16
Softmax S,SoftMax,384,384,1,384,384,1,,,,,Int8,Int8,Int8,16
MatMul V,MatMul,384,64,1,384,64,1,64,64,1,1,Int8,Int8,Int8,16
MatMul S.V,MatMul,384,384,1,384,64,1,384,64,1,1,Int8,Int8,Int8,16
FC1,MatMul,384,1024,1,384,1024,1,1024,1024,1,1,Int8,Int8,Int8,1
Add A,Add,384,1024,1,384,1024,1,,,,,Int8,Int8,Int8,1
LRN L,LyrNorm,384,1024,1,384,1024,1,,,,,Int8,Int8,Int8,1
FC2,MatMul,384,1024,1,384,4096,1,1024,4096,1,1,Int8,Int8,Int8,1
GeLU G,GeLU,384,4096,1,384,4096,1,,,,,Int8,Int8,Int8,1
FC3,MatMul,384,4096,1,384,1024,1,4096,1024,1,1,Int8,Int8,Int8,1
ADD B,Add,384,1024,1,384,1024,1,,,,,Int8,Int8,Int8,1
LRN R,LyrNorm,384,1024,1,384,1024,1,,,,,Int8,Int8,Int8,1
