#LyrName,Type,InT(W),InT(H),InT(D),OutT(W),OutT(H),OutT(D),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),InDataType,OutDataType,Repeat
#Attention Head,,,,,,,,,,,,,,
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul Q,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
MatMul K,MatMul,384,1024,1,384,64,1,1024,64,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
Transpose T,Transpose,384,1024,1,64,384,1,,,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
MatMul Q.KT,MatMul-SIMD,384,1024,1,384,384,1,64,384,1,,Int8,Int8,16
