LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),WgtT(Size)
conv1_t,Convolution,2,112,112,64,"802,816",224,224,3,"150,528",7,7,3,64," 9,408 "
conv1_relu_t,ReLU,1,112,112,64,"802,816",112,112,64,"802,816",,,,,  
pool1_t,MaxPool_3x3,2,56,56,64,"200,704",112,112,64,"802,816",,,,,  
res2a_branch1,Convolution,1,56,56,256,"802,816",56,56,64,"200,704",1,1,64,256," 16,384 "
res2a_branch2a,Convolution,1,56,56,64,"200,704",56,56,64,"200,704",1,1,64,64," 4,096 "
res2a_branch2a_relu,ReLU,1,56,56,64,"200,704",56,56,64,"200,704",,,,,  
res2a_branch2b,Convolution,1,56,56,64,"200,704",56,56,64,"200,704",3,3,64,64," 36,864 "
res2a_branch2b_relu,ReLU,1,56,56,64,"200,704",56,56,64,"200,704",,,,,  
res2a_branch2c,Convolution,1,56,56,256,"802,816",56,56,64,"200,704",1,1,64,256," 16,384 "
res2a,Eltwise_Add,1,56,56,256,"802,816",56,56,256,"802,816",,,,,  
res2a_relu,ReLU,1,56,56,256,"802,816",56,56,256,"802,816",,,,,  
res2b_branch2a,Convolution,1,56,56,64,"200,704",56,56,256,"802,816",1,1,256,64," 16,384 "
res2b_branch2a_relu,ReLU,1,56,56,64,"200,704",56,56,64,"200,704",,,,,  
res2b_branch2b,Convolution,1,56,56,64,"200,704",56,56,64,"200,704",3,3,64,64," 36,864 "
res2b_branch2b_relu,ReLU,1,56,56,64,"200,704",56,56,64,"200,704",,,,,  
res2b_branch2c,Convolution,1,56,56,256,"802,816",56,56,64,"200,704",1,1,64,256," 16,384 "
res2b,Eltwise_Add,1,56,56,256,"802,816",56,56,256,"802,816",,,,,  
res2b_relu,ReLU,1,56,56,256,"802,816",56,56,256,"802,816",,,,,  
res2c_branch2a,Convolution,1,56,56,64,"200,704",56,56,256,"802,816",1,1,256,64," 16,384 "
res2c_branch2a_relu,ReLU,1,56,56,64,"200,704",56,56,64,"200,704",,,,,  
res2c_branch2b,Convolution,1,56,56,64,"200,704",56,56,64,"200,704",3,3,64,64," 36,864 "
res2c_branch2b_relu,ReLU,1,56,56,64,"200,704",56,56,64,"200,704",,,,,  
res2c_branch2c,Convolution,1,56,56,256,"802,816",56,56,64,"200,704",1,1,64,256," 16,384 "
res2c,Eltwise_Add,1,56,56,256,"802,816",56,56,256,"802,816",,,,,  
res2c_relu,ReLU,1,56,56,256,"802,816",56,56,256,"802,816",,,,,  
res3a_branch1,Convolution,2,28,28,512,"401,408",56,56,256,"802,816",1,1,256,512," 131,072 "
res3a_branch2a,Convolution,1,56,56,128,"401,408",56,56,256,"802,816",1,1,256,128," 32,768 "
res3a_branch2a_relu,ReLU,1,56,56,128,"401,408",56,56,128,"401,408",,,,,  
res3a_branch2b,Convolution,2,28,28,128,"100,352",56,56,128,"401,408",3,3,128,128," 147,456 "
res3a_branch2b_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3a_branch2c,Convolution,1,28,28,512,"401,408",28,28,128,"100,352",1,1,128,512," 65,536 "
res3a,Eltwise_Add,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3a_relu,ReLU,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3b_branch2a,Convolution,1,28,28,128,"100,352",28,28,512,"401,408",1,1,512,128," 65,536 "
res3b_branch2a_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3b_branch2b,Convolution,1,28,28,128,"100,352",28,28,128,"100,352",3,3,128,128," 147,456 "
res3b_branch2b_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3b_branch2c,Convolution,1,28,28,512,"401,408",28,28,128,"100,352",1,1,128,512," 65,536 "
res3b,Eltwise_Add,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3b_relu,ReLU,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3c_branch2a,Convolution,1,28,28,128,"100,352",28,28,512,"401,408",1,1,512,128," 65,536 "
res3c_branch2a_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3c_branch2b,Convolution,1,28,28,128,"100,352",28,28,128,"100,352",3,3,128,128," 147,456 "
res3c_branch2b_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3c_branch2c,Convolution,1,28,28,512,"401,408",28,28,128,"100,352",1,1,128,512," 65,536 "
res3c,Eltwise_Add,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3c_relu,ReLU,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3d_branch2a,Convolution,1,28,28,128,"100,352",28,28,512,"401,408",1,1,512,128," 65,536 "
res3d_branch2a_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3d_branch2b,Convolution,1,28,28,128,"100,352",28,28,128,"100,352",3,3,128,128," 147,456 "
res3d_branch2b_relu,ReLU,1,28,28,128,"100,352",28,28,128,"100,352",,,,,  
res3d_branch2c,Convolution,1,28,28,512,"401,408",28,28,128,"100,352",1,1,128,512," 65,536 "
res3d,Eltwise_Add,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res3d_relu,ReLU,1,28,28,512,"401,408",28,28,512,"401,408",,,,,  
res4a_branch1,Convolution,2,14,14,1024,"200,704",28,28,512,"401,408",1,1,512,1024," 524,288 "
res4a_branch2a,Convolution,1,28,28,256,"200,704",28,28,512,"401,408",1,1,512,256," 131,072 "
res4a_branch2a_relu,ReLU,1,28,28,256,"200,704",28,28,256,"200,704",,,,,  
res4a_branch2b,Convolution,2,14,14,256,"50,176",28,28,256,"200,704",3,3,256,256," 589,824 "
res4a_branch2b_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4a_branch2c,Convolution,1,14,14,1024,"200,704",14,14,256,"50,176",1,1,256,1024," 262,144 "
res4a,Eltwise_Add,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4a_relu,ReLU,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4b_branch2a,Convolution,1,14,14,256,"50,176",14,14,1024,"200,704",1,1,1024,256," 262,144 "
res4b_branch2a_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4b_branch2b,Convolution,1,14,14,256,"50,176",14,14,256,"50,176",3,3,256,256," 589,824 "
res4b_branch2b_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4b_branch2c,Convolution,1,14,14,1024,"200,704",14,14,256,"50,176",1,1,256,1024," 262,144 "
res4b,Eltwise_Add,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4b_relu,ReLU,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4c_branch2a,Convolution,1,14,14,256,"50,176",14,14,1024,"200,704",1,1,1024,256," 262,144 "
res4c_branch2a_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4c_branch2b,Convolution,1,14,14,256,"50,176",14,14,256,"50,176",3,3,256,256," 589,824 "
res4c_branch2b_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4c_branch2c,Convolution,1,14,14,1024,"200,704",14,14,256,"50,176",1,1,256,1024," 262,144 "
res4c,Eltwise_Add,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4c_relu,ReLU,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4d_branch2a,Convolution,1,14,14,256,"50,176",14,14,1024,"200,704",1,1,1024,256," 262,144 "
res4d_branch2a_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4d_branch2b,Convolution,1,14,14,256,"50,176",14,14,256,"50,176",3,3,256,256," 589,824 "
res4d_branch2b_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4d_branch2c,Convolution,1,14,14,1024,"200,704",14,14,256,"50,176",1,1,256,1024," 262,144 "
res4d,Eltwise_Add,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4d_relu,ReLU,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4e_branch2a,Convolution,1,14,14,256,"50,176",14,14,1024,"200,704",1,1,1024,256," 262,144 "
res4e_branch2a_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4e_branch2b,Convolution,1,14,14,256,"50,176",14,14,256,"50,176",3,3,256,256," 589,824 "
res4e_branch2b_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4e_branch2c,Convolution,1,14,14,1024,"200,704",14,14,256,"50,176",1,1,256,1024," 262,144 "
res4e,Eltwise_Add,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4e_relu,ReLU,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4f_branch2a,Convolution,1,14,14,256,"50,176",14,14,1024,"200,704",1,1,1024,256," 262,144 "
res4f_branch2a_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4f_branch2b,Convolution,1,14,14,256,"50,176",14,14,256,"50,176",3,3,256,256," 589,824 "
res4f_branch2b_relu,ReLU,1,14,14,256,"50,176",14,14,256,"50,176",,,,,  
res4f_branch2c,Convolution,1,14,14,1024,"200,704",14,14,256,"50,176",1,1,256,1024," 262,144 "
res4f,Eltwise_Add,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res4f_relu,ReLU,1,14,14,1024,"200,704",14,14,1024,"200,704",,,,,  
res5a_branch1,Convolution,2,7,7,2048,"100,352",14,14,1024,"200,704",1,1,1024,2048," 2,097,152 "
res5a_branch2a,Convolution,1,14,14,512,"100,352",14,14,1024,"200,704",1,1,1024,512," 524,288 "
res5a_branch2a_relu,ReLU,1,14,14,512,"100,352",14,14,512,"100,352",,,,,  
res5a_branch2b,Convolution,2,7,7,512,"25,088",14,14,512,"100,352",3,3,512,512," 2,359,296 "
res5a_branch2b_relu,ReLU,1,7,7,512,"25,088",7,7,512,"25,088",,,,,  
res5a_branch2c,Convolution,1,7,7,2048,"100,352",7,7,512,"25,088",1,1,512,2048," 1,048,576 "
res5a,Eltwise_Add,1,7,7,2048,"100,352",7,7,2048,"100,352",,,,,  
res5a_relu,ReLU,1,7,7,2048,"100,352",7,7,2048,"100,352",,,,,  
res5b_branch2a,Convolution,1,7,7,512,"25,088",7,7,2048,"100,352",1,1,2048,512," 1,048,576 "
res5b_branch2a_relu,ReLU,1,7,7,512,"25,088",7,7,512,"25,088",,,,,  
res5b_branch2b,Convolution,1,7,7,512,"25,088",7,7,512,"25,088",3,3,512,512," 2,359,296 "
res5b_branch2b_relu,ReLU,1,7,7,512,"25,088",7,7,512,"25,088",,,,,  
res5b_branch2c,Convolution,1,7,7,2048,"100,352",7,7,512,"25,088",1,1,512,2048," 1,048,576 "
res5b,Eltwise_Add,1,7,7,2048,"100,352",7,7,2048,"100,352",,,,,  
res5b_relu,ReLU,1,7,7,2048,"100,352",7,7,2048,"100,352",,,,,  
res5c_branch2a,Convolution,1,7,7,512,"25,088",7,7,2048,"100,352",1,1,2048,512," 1,048,576 "
res5c_branch2a_relu,ReLU,1,7,7,512,"25,088",7,7,512,"25,088",,,,,  
res5c_branch2b,Convolution,1,7,7,512,"25,088",7,7,512,"25,088",3,3,512,512," 2,359,296 "
res5c_branch2b_relu,ReLU,1,7,7,512,"25,088",7,7,512,"25,088",,,,,  
res5c_branch2c,Convolution,1,7,7,2048,"100,352",7,7,512,"25,088",1,1,512,2048," 1,048,576 "
res5c,Eltwise_Add,1,7,7,2048,"100,352",7,7,2048,"100,352",,,,,  
res5c_relu,ReLU,1,7,7,2048,"100,352",7,7,2048,"100,352",,,,,  
pool5_t,AvgPool_7x7,1,1,1,2048,"2,048",7,7,2048,"100,352",,,,,  
fc1000_t,Convolution,1,1,1,1000,"1,000",1,1,2048,"2,048",1,1,2048,1000," 2,048,000 "
prob_t,Softmax,1,1,1,1000,"1,000",1,1,1000,"1,000",,,,,  
