,LyrName,Type,Stride,OutT(W),OutT(H),OutT(D),OutT(Size),InT(W),InT(H),InT(D),InT(Size),WgtT(W),WgtT(H),WgtT(D),WgtT(Num),simd_cycles,MAC,WgtT(Size),index,Load Cycles,Store Cycles,conv_cycles,Layer Cycles,tiles,Stage Cycles
0,layer1-conv;layer1-bn+layer1-scale,Convolution;BatchNorm+Scale,1,416,416,32,5537792,416,416,3,519168,3,3,3,32,1038336,149520384,864,0,64896,692224,259584,1038336,1,1038336
1,layer2-conv;layer2-bn+layer2-scale,Convolution;BatchNorm+Scale,1,208,208,64,2768896,416,416,32,5537792,3,3,32,64,519168,797442048,18432,3,692224,346112,1384448,1384448,1,1384448
2,layer3-conv;layer3-bn+layer3-scale,Convolution;BatchNorm+Scale,1,208,208,32,1384448,208,208,64,2768896,1,1,64,32,259584,88604672,2048,6,346112,173056,170918,346112,1,346112
3,layer4-conv;layer4-bn+layer4-scale,Convolution;BatchNorm+Scale,1,208,208,64,2768896,208,208,32,1384448,3,3,32,64,519168,797442048,18432,9,173056,346112,1384448,1384448,1,1384448
4,layer6-conv;layer6-bn+layer6-scale,Convolution;BatchNorm+Scale,1,104,104,128,1384448,208,208,64,2768896,3,3,64,128,259584,797442048,73728,13,346112,173056,1384448,1384448,1,1384448
5,layer7-conv;layer7-bn+layer7-scale,Convolution;BatchNorm+Scale,1,104,104,64,692224,104,104,128,1384448,1,1,128,64,129792,88604672,8192,16,173056,86528,170918,173056,1,173056
6,layer8-conv;layer8-bn+layer8-scale,Convolution;BatchNorm+Scale,1,104,104,128,1384448,104,104,64,692224,3,3,64,128,259584,797442048,73728,19,86528,173056,1384448,1384448,1,1384448
7,layer10-conv;layer10-bn+layer10-scale,Convolution;BatchNorm+Scale,1,104,104,64,692224,104,104,128,1384448,1,1,128,64,129792,88604672,8192,23,173056,86528,170918,173056,1,173056
8,layer11-conv;layer11-bn+layer11-scale,Convolution;BatchNorm+Scale,1,104,104,128,1384448,104,104,64,692224,3,3,64,128,259584,797442048,73728,26,86528,173056,1384448,1384448,1,1384448
9,layer13-conv;layer13-bn+layer13-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,104,104,128,1384448,3,3,128,256,129792,797442048,294912,30,173056,86528,1384448,1384448,1,1384448
10,layer14-conv;layer14-bn+layer14-scale,Convolution;BatchNorm+Scale,1,52,52,128,346112,52,52,256,692224,1,1,256,128,64896,88604672,32768,33,86528,43264,170918,170918,1,170918
11,layer15-conv;layer15-bn+layer15-scale,Convolution;BatchNorm+Scale,1,52,52,256,692224,52,52,128,346112,3,3,128,256,129792,797442048,294912,36,43264,86528,1384448,1384448,1,1384448
